"","Lacz.1","Lacz.2","Lacz.3","Yap.1","Yap.2","Yap.3"
"ENSMUSG00000068205_Macrod2",9.48258439951853,9.46982540567648,9.55097376501559,9.29433951705521,9.20408903975381,9.09683322576622
"ENSMUSG00000051379_Flrt3",-3.20285835161157,-3.46446033796699,-2.04464572004539,-2.27733203556096,-2.50114526526612,-2.27548299002537
"ENSMUSG00000086450_Macrod2os1",-2.54125219876909,-2.37916168096189,-3.25553252223731,-1.38480236735934,-3.04092805221775,-1.95963118502826
"ENSMUSG00000038844_Kif16b",9.56646554363915,9.59514792752413,9.52064025104529,9.6217698696178,9.54887240246547,9.413354584667
"ENSMUSG00000008333_Snrpb2",2.6040878195606,2.59598356605274,2.75767179641545,2.66999032296877,2.58109843490681,2.18710517256728
"ENSMUSG00000027419_Pcsk2",-2.83445723970939,-3.17242906044532,-2.8134314174407,-1.53497390756578,-1.47228022137838,-1.95963118502826
"ENSMUSG00000027420_Bfsp1",-2.08936759211186,-1.57991897934103,-1.39572291028073,-1.24879911860459,-1.08718865726565,-1.04521539500534
"ENSMUSG00000015932_Dstn",4.48942138469713,4.41349800261213,4.49154664683125,4.84928365035266,4.65047798923857,4.31532703952902
"ENSMUSG00000027422_Rrbp1",4.94130425761739,4.9954957818945,4.87547545042739,5.32077677102737,5.84401327537099,5.31012351719422
"ENSMUSG00000074758_Gm5535",-1.18327234615204,-1.76685136058359,-1.39572291028073,-0.938573098890089,-0.458061421300546,-1.08334032813205
"ENSMUSG00000027423_Snx5",4.41658848945908,4.6243532828354,4.51779458452085,5.01609333206101,4.98865363828734,4.7775840087829
"ENSMUSG00000027424_Mgme1",1.72233677017878,1.71445268941247,2.1325981073545,1.59467724098911,1.76243926570422,1.84536712236596
"ENSMUSG00000027425_Kat14",5.82234191297068,5.95472851139853,5.99343166544831,6.05156236627748,5.90987624640759,5.87761825096877
"ENSMUSG00000083674_Zfp133-ps",0.222851414207964,0.7795921285344,0.412775217364536,0.5907355725727,1.02344831819051,0.543668630557861
"ENSMUSG00000037259_Dzank1",0.613890937956682,0.297284952791623,0.357474926240919,0.251621689268069,0.584791376338536,-0.0329164258242808
"ENSMUSG00000027427_Polr3f",3.36207880289041,3.37226269010506,3.44866813264363,3.38232141843799,3.11860149166901,2.88701592488943
"ENSMUSG00000027428_Rbbp9",2.56225383067196,2.11724803350077,2.58786903508056,1.95074029483323,1.85329454062184,1.38975502388615
"ENSMUSG00000027429_Sec23b",4.58462990744309,4.57599527621512,4.50909822495204,4.32321020434263,4.45036531889828,4.29782111190314
"ENSMUSG00000074754_Smim26",-0.129296087428879,-0.691849086528042,0.16153687963625,-0.300482357698024,-0.652729196724277,-1.29072197069812
"ENSMUSG00000027430_Dtd1",6.73263536486118,6.60177507604119,6.65471661879327,6.4322039527227,6.26634688288306,6.09084055423706
"ENSMUSG00000063873_Slc24a3",1.15411158603348,2.39879794174306,2.05650819991074,1.96012838271672,2.99101877852981,1.78844735624547
"ENSMUSG00000001768_Rin2",2.53498640221186,2.74776496200558,2.82801455392234,3.35411351009275,3.93732191422134,3.13338200506501
"ENSMUSG00000002728_Naa20",4.19932270567508,4.30790074540964,4.26799875835791,3.99931340100571,4.16129293839731,4.02405764719894
"ENSMUSG00000001767_Crnkl1",3.25394819893379,3.01772640014841,3.14415060850111,3.07401078918396,2.84736989953904,2.82661628449748
"ENSMUSG00000037143_Cfap61",-2.41433684847742,-3.17242906044532,-2.28746587853362,-2.1108133589202,-3.04092805221775,-1.70066190357666
"ENSMUSG00000037110_Ralgapa2",7.69453913292864,7.67914865994015,7.5906486271917,7.32656797542547,7.27670946344675,6.98192678979426
